Threat Rank,Player,Team,Faction,Force Disposition,Elo,Global Elo Rank,Wins,Losses,Draws,Games,Win %,Confidence,Country,Most Recent Event,Club (as listed),Elo Name Matches,Comments
1,Christopher Langton,Carnage,Chaos Daemons,Reconnaissance,1996,16,119,33,1,153,78.1%,High,England,THE LEEDS 40K SUPER MAJOR,Mind Goblins,1,HIGHEST-RATED PLAYER IN THE FIELD. Global Elo rank 16. GUEST - his club is listed as Mind Goblins but he is playing for Carnage. Elite win rate: 78.1% over 153 games.
2,Scott Morris,Carnage,Necrons,Purge the Foe,1921,40,117,45,1,163,72.1%,High,England,The North East Open 2026,Carnage,1,"Carnage captain. Global Elo rank 40. Carnage won the Summer ITT in the 2024/25 season, so he is defending a title."
3,Toby Bennett,Sofa Meta is Bad at Stuff,Chaos Daemons,Reconnaissance,1896,54,98,31,1,130,75.8%,High,England,THE BIRMINGHAM 40K SUPER MAJOR,Black Crow Gaming,1,"Global Elo rank 54. GUEST - club is Black Crow Gaming, whose Crow Team Six squad is national #5, but he is playing for Sofa Meta is Bad at Stuff. Elite win rate: 75.8% over 130 games."
4,Ben Jones,Vanguard Tactics,Orks,Take and Hold,1875,68,236,61,0,297,79.5%,High,England,THE BIRMINGHAM 40K SUPER MAJOR,Vanguard Tactics,2,Global Elo rank 68 off 297 games - one of the highest-volume players here. CAUTION: name collides with another Ben Jones in the Elo database. Elite win rate: 79.5% over 297 games.
5,Kyle Grundy,Mind Goblins,T'au Empire,Priority Assets,1874,70,234,71,5,310,76.3%,High,England,THE LEEDS 40K SUPER MAJOR,Mind Goblins,1,Global Elo rank 70 off 310 games - the highest game count of anyone in the field. Elite win rate: 76.3% over 310 games.
6,Rory Andrew,Team Stonehammer,Emperor's Children,Priority Assets,1871,76,80,24,0,104,76.9%,High,England,THE BRISTOL 40K SUPER MAJOR,Team Stonehammer,1,"Global Elo rank 76 off only 104 games, at a 76.9% win rate."
7,Ross Tully,Hobby Henchmen I,Imperial Agents,Disruption,1848,91,87,37,1,125,70.0%,High,England,THE BIRMINGHAM 40K SUPER MAJOR,Hobby Henchmen,1,"WON the Beachhead Brawl ITC Super Major 6-0 in Feb 2026. Global Elo rank 91. CLUB DISCREPANCY - he is listed as Hobby Henchmen here, appeared as Vanguard Tactics at Beachhead, and as Pompey Pirates on older records."
8,Nathan Roberts,TFG Gaming,Chaos Space Marines,Purge the Foe,1831,107,109,31,2,142,77.5%,High,England,The NOTTINGHAM 40K SUPER-MAJOR,Stat Check,1,Plays for Stat Check - the outfit that publishes the global Elo ranking system this analysis is built on. Global Elo rank 107. GUEST on TFG Gaming. Elite win rate: 77.5% over 142 games.
9,Stephen Box,Vanguard Tactics,Adeptus Custodes,Purge the Foe,1827,113,177,44,2,223,79.8%,High,England,THE BIRMINGHAM 40K SUPER MAJOR,Vanguard Tactics,1,"Founder of Vanguard Tactics, the UK's largest 40K coaching organisation. On ITC season points he was ranked #1 IN THE WORLD as of Feb 2026 (2nd at Beachhead Super Major, 6-0) and #1 globally for Deathwatch. His 79.8% win rate over 223 games is the best in the field at that volume. IMPORTANT: ITC #1 is not the same as Elo #1 - on Elo he is 113th, because ITC rewards attendance and placings while Elo rewards beating strong opponents and decays with inactivity."
10,Byron Sidhu,Fire and Dice - Targaryen,Chaos Daemons,Purge the Foe,1823,119,131,47,3,181,73.2%,High,England,THE BIRMINGHAM 40K SUPER MAJOR,Fire and Dice,1,"Captain of Fire and Dice - Targaryen, national #2 and 3rd at the Spring ITT. Global Elo rank 119."
