Threat Rank,Team,Threat Score,"Squad Elo (avg, 1500 if unrated)",Players Rated (of 5),Top Player,Top Player Elo,Avg Elo of Rated Only,UKTC National Rank,Proven-Results Bonus,Captain,Comments
1,Carnage,1855,1810,5,Christopher Langton,1996,1810,6,45,Scott Morris,"Strongest squad in the field on individual quality, yet only national #6. WON the Summer ITT in the 2024/25 season - defending champions of this event. Two top-40 world players: Christopher Langton (Elo rank 16) and captain Scott Morris (rank 40). Season form 20th > 17th > 7th, trending up. Langton is a guest - his club is listed as Mind Goblins."
2,Team Sigil,1782,1722,5,Samuel Martin,1797,1722,1,60,Vincent Stein,"National #1 and WON the Spring ITT 2026 (2nd Winter, 6th Autumn). Only 3rd on squad Elo with nobody above 1797 - their edge is pairing strategy and squad construction rather than individual firepower. The Sigil family runs 3 registered squads, and three more Sigil players are out on loan to PSSN, Shadowkeepers and Tuesday Wizards."
3,Fire and Dice - Targaryen,1761,1701,5,Byron Sidhu,1823,1701,2,60,Byron Sidhu,"National #2. Form 4th > 6th > 3rd - the most consistent top-end team in the field, no bad result all season. Captain Byron Sidhu. Two Fire and Dice squads here."
4,Vanguard Tactics,1755,1725,5,Ben Jones,1875,1725,12,30,Stephen Box,"National #12 and 4th at the Winter ITT, but skipped Spring. The UK's biggest coaching organisation and, on ITC points, the #1 ranked TEAM in the world as of Feb 2026. Contains Stephen Box (ITC world #1) and Jordan Checkley (global #1 Blood Angels). Three VT squads registered nationally."
5,Mind Goblins,1736,1676,5,Kyle Grundy,1874,1676,4,60,Louis Ballington,"National #4. Took 3RD at the Goonhammer Open UK teams event in March 2026, where five Golden Tickets to the World Championships were on the line. Captain Louis Ballington was described by UKTC as 'The Hammer'."
6,TYPHOON,1712,1682,5,Will B,1816,1682,17,30,Stanley Peddle,National #17. Skipped the Spring ITT. Will B is a guest from Try Hard Wargaming (national #29 family); his name is abbreviated on the roster so his Elo match is less certain than most.
7,DeadRedGaming,1698,1668,5,Mark Pilkington,1764,1668,11,30,Stephen Platten,National #11 (listed as 'DeadRedGaming A'). Skipped the Spring ITT. Two squads registered; Rob Hassall is out on loan to a DKQR squad.
8,Team Stonehammer,1683,1663,5,Rory Andrew,1871,1663,23,20,Joshua A Bradwell,National #23 but 8th on squad Elo. Improving steadily all season: 49th > 31st > 23rd. Rory Andrew is global Elo rank 76.
9,Carnage Behemoth,1666,1621,4,Kevin Davies,1708,1652,8,45,Joe Senior,National #8. Second Carnage squad. Consistent mid-table ITT form (18th/23rd/17th). One player has no Elo record.
10,Ballers Brawlers,1654,1644,5,Charles Gould,1688,1644,46,10,Luke Cook,"National #46 but 10th on squad Elo - significantly stronger than their ranking implies. Only two events played this season (36th, then 25th), so the ranking is built on thin data."
11,Tuesday Knights,1645,1625,5,Jordan Penning,1765,1625,25,20,Matthew Bunker,National #25 but very volatile: 22nd > 71st > 15th. Two Tuesday squads here.
12,TFG Gaming,1644,1614,5,Nathan Roberts,1831,1614,13,30,Brett Armitage,"National #13. Includes Nathan Roberts of Stat Check - the outfit that runs the global Elo system itself - and Rafael Harbinson on loan from Warmasters, whose A team is national #3."
13,Mind Gobliins,1642,1597,5,Aidan Brocklehurst,1774,1597,7,45,Aidan Brocklehurst,"National #7 and 2ND at the Spring ITT 2026. The spelling is DELIBERATE, not a typo - Mind Goblins run three separately registered squads (Goblins / Gobliins / Gobliiins) so the rankings can tell them apart. Captain Aidan Brocklehurst has an unbroken ITT record back to early 2024."
14,[REDACTED],1636,1591,5,Adam Gill,1632,1591,9,45,Eliot Osborne,"National #9. The name is genuinely redacted in the UKTC rankings too, and a second squad from the same family appears there as [REDBCTED] at #64. Three squads in the family. Poor Spring result (49th) after 12th and 16th."
15,Polaris,1632,1612,4,Rowan Hesse,1764,1640,21,20,Dan Zas,National #21. Skipped the Spring ITT. Two Polaris squads here. Four of five rated.
16,The Sh[a]meful Suspects - PSSN,1623,1603,5,Cayleb Langhals,1706,1603,28,20,Cayleb Langhals,"National #28. PSSN run SIX registered squads, tying them with Black Crow Gaming and 6++ as the largest club families on the circuit. Declining form: 17th > 60th > 47th."
17,Sanguine Spanners,1621,1601,5,George Leathley,1720,1601,22,20,George Leathley,"National #22. Skipped the Spring ITT. Solid but unspectacular ITT form (34th, 29th)."
18,Manaforge Games Derby,1614,1609,5,David Treadgold,1707,1609,70,5,Alex Parnall,"National #70 but 14th on squad Elo - one of the most underrated teams in the field. Only played the Winter ITT (45th), so the ranking reflects absence rather than weakness."
19,Carnage Chaos,1597,1592,5,Chris Taylor,1694,1592,74,5,Jacob Wells,National #74 but leapt 35 places after finishing 10th at the Spring ITT. Third Carnage squad. Two players have ambiguous Elo name matches.
20,Sofa Meta is Bad at Stuff,1594,1594,5,Toby Bennett,1896,1594,,0,Brett Keable,"Top-end far exceeds its average - Toby Bennett is global Elo rank 54, on loan from Black Crow Gaming whose Crow Team Six squad is national #5. The rest of the squad is mid-table."
21,Hobby Henchmen I,1594,1594,5,Ross Tully,1848,1594,,0,Samuel Godding,"NOT in the national top 100, but contains Ross Tully, who WON the Beachhead Brawl ITC Super Major 6-0 in Feb 2026. The ranking badly understates this squad. Hobby Henchmen run 4 registered squads."
22,PSSN: The Wizards of Odds,1589,1589,5,Aneurin Brewer,1661,1589,,0,Guy Miscampbell,"One of four PSSN squads here. Captain Guy Miscampbell is on Deathwatch, a rare pick. PSSN's registered squads sit at national #20 and #28."
